"SDRs per currency unit for the period  January 01, 1994 - November 10, 2023",,,,,,,,,,,
,,,,,,,,,,,
Date,Canadian dollar (CAD),Indian rupee (INR),Japanese yen (JPY),Kuwaiti dinar (KWD),Malaysian ringgit (MYR),New Zealand dollar (NZD),Singapore dollar (SGD),Thai baht (THB),U.A.E. dirham (AED),U.K. pound (GBP),U.S. dollar (USD)
3-Jan-1994,,0.0232743,,2.44579,0.271712,,0.453968,,0.198887,,0.730116
4-Jan-1994,0.554715,0.0232955,0.00646137,2.44662,0.277178,,0.453113,0.0285685,0.199069,1.08302,0.730781
5-Jan-1994,0.553164,0.023241,0.00644055,2.44089,0.278165,0.40879,0.453882,0.0285239,0.198603,1.08354,0.72907
6-Jan-1994,0.552459,0.023266,0.00647034,2.44352,0.277828,0.407769,0.457331,0.0285434,0.198816,1.08332,0.729854
7-Jan-1994,0.551007,0.0232452,0.00647892,,0.277866,0.406166,0.456665,0.0285402,0.198639,1.08185,0.729203
10-Jan-1994,0.552074,0.0231829,0.0065078,2.43961,0.275056,0.406095,0.455583,0.0285083,0.198106,1.08542,0.727247
11-Jan-1994,0.55206,0.0232597,0.00649162,2.44663,0.271299,0.40839,0.456179,0.0285692,0.198763,1.08683,0.729658
12-Jan-1994,0.552008,0.0232399,0.00649766,2.44455,0.267782,0.40775,0.45437,0.0285337,0.198594,1.09137,0.729037
13-Jan-1994,0.551727,0.0232352,0.00649053,2.44404,0.267678,0.406938,0.454787,0.0285279,0.198553,1.09238,0.728887
14-Jan-1994,0.551794,0.0232274,0.00652322,,0.267294,0.406583,0.453532,0.0285184,0.198487,1.08714,0.728644
17-Jan-1994,0.552279,0.0232338,0.00654845,2.44488,0.266927,0.406476,0.453458,0.0285373,0.198541,1.08853,0.728843
18-Jan-1994,0.553365,0.0232089,0.00656503,2.44226,0.267571,0.408297,0.452888,0.0285179,0.198328,1.08882,0.728062
19-Jan-1994,0.554795,0.0231804,0.00655108,2.43927,0.266998,0.410778,0.45222,0.0284941,0.198085,1.08436,0.72717
20-Jan-1994,0.556455,0.0232409,0.00654459,2.44563,0.266277,0.412142,0.453034,0.0285573,0.198602,1.08791,0.729067
21-Jan-1994,0.553035,0.0231157,0.0065181,,0.265036,0.409268,0.451603,0.0284145,0.197532,1.08843,0.725139
24-Jan-1994,0.556824,0.0232688,0.00650571,2.44733,0.263612,0.412417,0.453661,0.0285691,0.19884,1.09024,0.729941
25-Jan-1994,0.555778,0.0232374,0.00652896,2.44518,0.263542,0.41434,0.454604,0.0285418,0.198572,1.08812,0.728958
26-Jan-1994,0.553746,0.023179,0.00659224,2.44067,0.264073,0.413443,0.454595,0.0285147,0.198072,1.088,0.727124
27-Jan-1994,0.553216,0.0231303,0.00662042,2.43718,0.263041,0.41272,0.454152,0.0284883,0.197657,1.08419,0.725598
28-Jan-1994,0.546438,0.0230647,0.00665629,,0.263057,0.410319,0.453829,0.0284522,0.197096,1.08495,0.723539
31-Jan-1994,0.545682,0.0230884,0.00659039,2.43277,0.262441,0.412335,0.453869,0.0284256,0.197299,1.08505,0.724284
1-Feb-1994,0.542548,0.0230112,0.00667153,2.42862,,0.412399,0.453487,0.0283973,0.196639,1.08568,0.72186
